segment,addr,name,note
1,0x1EDE,seg01_Main_1EDE,jump-table export 000; CODE 0 routine offset 0x1EDA
1,0x02DC,seg01_Main_02DC,jump-table export 001; CODE 0 routine offset 0x02D8
1,0x02E8,seg01_Main_02E8,jump-table export 002; CODE 0 routine offset 0x02E4
1,0x0314,seg01_Main_0314,jump-table export 003; CODE 0 routine offset 0x0310
1,0x05BE,seg01_Main_05BE,jump-table export 004; CODE 0 routine offset 0x05BA
1,0x05FE,seg01_Main_05FE,jump-table export 005; CODE 0 routine offset 0x05FA
1,0x088A,seg01_Main_088A,jump-table export 006; CODE 0 routine offset 0x0886
1,0x08D4,seg01_Main_08D4,jump-table export 007; CODE 0 routine offset 0x08D0
1,0x09B4,seg01_Main_09B4,jump-table export 008; CODE 0 routine offset 0x09B0
1,0x09FA,seg01_Main_09FA,jump-table export 009; CODE 0 routine offset 0x09F6
1,0x0AF6,seg01_Main_0AF6,jump-table export 010; CODE 0 routine offset 0x0AF2
1,0x0BE2,seg01_Main_0BE2,jump-table export 011; CODE 0 routine offset 0x0BDE
1,0x0C28,seg01_Main_0C28,jump-table export 012; CODE 0 routine offset 0x0C24
1,0x0CD2,seg01_Main_0CD2,jump-table export 013; CODE 0 routine offset 0x0CCE
1,0x0D7C,seg01_Main_0D7C,jump-table export 014; CODE 0 routine offset 0x0D78
1,0x0E26,seg01_Main_0E26,jump-table export 015; CODE 0 routine offset 0x0E22
1,0x0EC0,seg01_Main_0EC0,jump-table export 016; CODE 0 routine offset 0x0EBC
1,0x0F6C,seg01_Main_0F6C,jump-table export 017; CODE 0 routine offset 0x0F68
1,0x0F82,seg01_Main_0F82,jump-table export 018; CODE 0 routine offset 0x0F7E
1,0x103E,seg01_Main_103E,jump-table export 019; CODE 0 routine offset 0x103A
1,0x1776,seg01_Main_1776,jump-table export 020; CODE 0 routine offset 0x1772
1,0x2A00,seg01_Main_2A00,jump-table export 021; CODE 0 routine offset 0x29FC
1,0x2A5C,seg01_Main_2A5C,jump-table export 022; CODE 0 routine offset 0x2A58
1,0x2A9E,seg01_Main_2A9E,jump-table export 023; CODE 0 routine offset 0x2A9A
1,0x2C64,seg01_Main_2C64,jump-table export 024; CODE 0 routine offset 0x2C60
1,0x2CC4,seg01_Main_2CC4,jump-table export 025; CODE 0 routine offset 0x2CC0
1,0x2CE0,seg01_Main_2CE0,jump-table export 026; CODE 0 routine offset 0x2CDC
1,0x2CEE,seg01_Main_2CEE,jump-table export 027; CODE 0 routine offset 0x2CEA
1,0x2CFC,seg01_Main_2CFC,jump-table export 028; CODE 0 routine offset 0x2CF8
1,0x2D0A,seg01_Main_2D0A,jump-table export 029; CODE 0 routine offset 0x2D06
1,0x2D18,seg01_Main_2D18,jump-table export 030; CODE 0 routine offset 0x2D14
1,0x2F1A,seg01_Main_2F1A,jump-table export 031; CODE 0 routine offset 0x2F16
1,0x2F22,seg01_Main_2F22,jump-table export 032; CODE 0 routine offset 0x2F1E
1,0x2F7A,seg01_Main_2F7A,jump-table export 033; CODE 0 routine offset 0x2F76
1,0x2F86,seg01_Main_2F86,jump-table export 034; CODE 0 routine offset 0x2F82
1,0x2FD6,seg01_Main_2FD6,jump-table export 035; CODE 0 routine offset 0x2FD2
1,0x3028,seg01_Main_3028,jump-table export 036; CODE 0 routine offset 0x3024
1,0x3072,seg01_Main_3072,jump-table export 037; CODE 0 routine offset 0x306E
1,0x30C0,seg01_Main_30C0,jump-table export 038; CODE 0 routine offset 0x30BC
1,0x30F2,seg01_Main_30F2,jump-table export 039; CODE 0 routine offset 0x30EE
1,0x30FA,seg01_Main_30FA,jump-table export 040; CODE 0 routine offset 0x30F6
1,0x3104,seg01_Main_3104,jump-table export 041; CODE 0 routine offset 0x3100
